date,value
2021-01-03,0.09194174398768416
2021-01-03,0.09368916237856106
2021-01-18,0.16005921249306787
2021-01-18,0.15939749213410848
2021-01-23,0.19640199998392338
2021-01-23,0.19541199501265638
2021-01-28,0.17984847740215468
2021-01-28,0.17877568219893347
2021-02-02,0.22699980876044049
2021-02-02,0.22713942565667677
2021-02-07,0.20067858484824413
2021-02-07,0.1994263919069471
2021-02-12,0.2153462969664591
2021-02-12,0.21401949456459532
2021-02-17,0.1984329813745172
2021-02-17,0.1972487552376859
2021-02-22,0.1924435991020838
2021-02-22,0.19112476235756026
2021-02-27,0.22730790796394665
2021-02-27,0.2277703109378233
2021-03-04,0.23151314288829358
2021-03-04,0.23268010317238355
2021-03-09,0.24397443950206862
2021-03-09,0.24260901276165284
2021-03-14,0.23802963868174415
2021-03-14,0.2425553128791152
2021-03-19,0.1672985681910384
2021-03-19,0.16634482542790116
2021-03-24,0.23173690992733864
2021-03-24,0.2364460100166369
2021-03-29,0.23545061819179344
2021-03-29,0.239310746815074
2021-04-03,0.2202701132481743
2021-04-03,0.22395689662268517
2021-04-13,0.24269200487662193
2021-04-13,0.23809407385913015
2021-04-18,0.21452143732685303
2021-04-18,0.25504041336968825
2021-04-23,0.2106659063528707
2021-05-03,0.2181315547175194
2021-05-03,0.2176929005001869
2021-05-08,0.20224386320222082
2021-05-08,0.20204264461674062
2021-05-23,0.24660777216558924
2021-05-23,0.24612557642023344
2021-06-07,0.2321728290412606
2021-07-07,0.31150341187639957
2021-07-07,0.310876829409003
2021-09-30,0.22466478131492507
2021-10-10,0.3469003182943136
2021-10-10,0.31397548262448777
2021-10-20,0.34963773660018976
2021-10-20,0.35602715975902777
2021-10-25,0.36158550596413724
2021-10-25,0.36319283331266466
2021-12-04,0.2706387572125382
2021-12-04,0.26882543782730917
2021-12-09,0.21472933269250208
2021-12-09,0.21468890053479248
2021-12-19,0.23783758490621584
2021-12-19,0.2368499539552493
2021-12-24,0.24851265061230557
2021-12-24,0.24014676112078936
2021-12-29,0.2199223497043701
2021-12-29,0.21929113687432666
